url|id_auteur|auteur|sexe|pays|haiku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6578&lg=f|mena-pd|Paul David Mena|H|USA|harvest moon --\\her updated\\relationship status
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5854&lg=f|alsa-m|Mohamad Alsari|H|Syria|Les jardins d'Alep en 2016\\même l'escargot\\a laissé sa coquille et s'est enfui
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2292&lg=f|bala-i|Israel Balan|H|Mexico|j'attends le bus --\\au bout de la rue\\coucher de soleil
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2289&lg=f|vanm-r|Robert Van Muylder|H|Belgique|avec un gros crayon -\\le prix\\des fraises
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1709&lg=f|supo-l|Lucia Supova|F|Luxembourg|le Danube coule\\dans la direction de l'aube\\un blanc bateau
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1092&lg=f|mena-pd|Paul David Mena|H|USA|m'observant\\dans la glace de la salle de bain\\une tache de vieillesse
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6417&lg=f|somp-p|Patrick Somprou|H|France|chaleur moite -\\au loin l'épaisse musique\\d'une fête foraine
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7041&lg=f|lonq-f|Françoise Lonquety|F|France|Au deuxième jour -\\les résolutions d'hier\\avec l'eau du bain
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5203&lg=f|bilq-b|Bill Bilquin|H|Belgique|le regard fuyant\\d'une ado sans maquillage\\premiers bourgeons
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6477&lg=f|mare-g|Gérard Maréchal|H|France|Pluie de l'aube,\\les herbes sauvages\\couchées
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7537&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|le jour décline~\\l'absence du chat\\plus pesante
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2282&lg=f|bala-i|Israel Balan|H|Mexico|half yellow moon -\\workers talk about\\tortillas
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1839&lg=f|bala-i|Israel Balan|H|Mexico|lumières de Noël\\la silhouette des arbres\\dans le noir
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7283&lg=f|mout-a|Abelhak  Moutachaoui Abdou|H|Maroc|Fin de la tempête~\\de très loin\\l'aboiement d'un chien
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7960&lg=f|deho-p|Pascale Dehoux|F|France|Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5860&lg=f|mare-g|Gérard Maréchal|H|France|Nuit de gel,\\la douceur du navet long\\dans le pot-au-feu
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5427&lg=f|supo-l|Lucia Supova|F|Luxembourg|journée nuageuse\\les jonquilles\\courbées vers le sol
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5517&lg=f|holl-m|Mark Holloway|H|UK|loupe de l'arbre\\l'été révèle\\mes vieilles cicatrices
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5429&lg=f|supo-l|Lucia Supova|F|Luxembourg|how can he love so much?\\warm evening light\\on the waving dog's tail
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7547&lg=f|mena-pd|Paul David Mena|H|USA|dans les ruines\\de la maison des dunes\\les orchidées sauvages fleurissent
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7147&lg=f|dumo-g|Gérard Dumon|H|France|sonate de Bach\\le rouge à lèvres\\de la soliste
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1473&lg=f|rais-c|Carol Raisfeld|F|USA|la poste\\livrée\\dans la pluie froide
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=539&lg=f|supo-l|Lucia Supova|F|Luxembourg|juin: un midi torride\\les joncs dans les pots à fleurs\\dans un moule à lac noir
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4389&lg=f|gabr-d|Damien Gabriels|H|France|fracas des vagues -\\un galet ébréché\\remis à la mer
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6912&lg=f|mcdo-j|John McDonald|H|Scotland(UK)|accrochés\\au fil barbelé\\de la laine et du vent
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7335&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|souks de la medina\\entre encens et épices\\me frayer un chemin
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=430&lg=f|beau-m|Micheline Beaudry|F|Canada|jardin zen\\les stèles émergent du sable\\un autre soldat mort
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3765&lg=f|sorl-w|William Sorlien|H|USA|des voix au loin\\une mince croûte de glace\\persiste sur la neige
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7966&lg=f|bikko| Bikko|H|France|sur le toit un homme\\vibrant de coups de marteau\\l’air d’automne
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4762&lg=f|naga-l|Louis Nagara|H|France|signature anonyme\\vieilles empreintes de pigeon\\dans le ciment nu
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5665&lg=f|py-d|Daniel Py|H|France|pleine lune d'août\\son test de grossesse\\positif
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7426&lg=f|colp-v|Virginie Colpart|F|France|pyrale du buis\\mes haïkus sont envahis\\de papillons blancs
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5627&lg=f|asun-i|Isabel Asunsolo|F|France|Glisser l'errata\\dans les haïkus pour la Paix\\- Lune presque pleine
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1838&lg=f|bala-i|Israel Balan|H|Mexico|championnat de foot\\la lune d'hiver\\sur le stade
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4466&lg=f|gabr-d|Damien Gabriels|H|France|à chaque passage\\de la chauve souris\\une nouvelle étoile
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2042&lg=f|quin-p|Philippe Quinta|H|France|Passage piéton\\Petite fille en tutu\\avec des galoches
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3858&lg=f|kolo-a|Angelika Kolompar Renville|F|Canada|Des moines Bouddhistes discutent\\au 49ème jour du désastre\\cherchant des âmes perdues
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=501&lg=f|py-d|Daniel Py|H|France|Au pied du lampadaire\\un sapin de janvier
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4857&lg=f|mena-pd|Paul David Mena|H|USA|cour de récré abandonnée --\\le graffiti\\s'estompe
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6966&lg=f|hoar-v|Vincent Hoarau|H|France|fièvre de Noël -\\loin de l'hypermarché\\ce petit chemin de boue
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6524&lg=f|naga-l|Louis Nagara|H|France|au réveil\\s’enlacer et l’entendre \\l’averse d’été
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=876&lg=f|cesa-jc|Jean-Claude César|H|France|Samedi soir-\\un long moment à tailler\\des crayons de couleur
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7097&lg=f|gabr-d|Damien Gabriels|H|France|Café en terrasse ~\\au fond de ma cuillère \\le bleu du ciel
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=749&lg=f|vanm-r|Robert Van Muylder|H|Belgique|Dans le hall\\Les parapluies ouverts\\A l'envers
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5061&lg=f|holl-m|Mark Holloway|H|UK|une plume bleu-noir brille avec la pluie une autre ecchymose inexpliquée
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6415&lg=f|quin-p|Philippe Quinta|H|France|chemin d'été -\\même le papillon\\a une ombre
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1324&lg=f|didy| Didymus|?|France|Le premier orage\\Un lac piqueté de gouttes\\Poussière mouillée
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7827&lg=f|mcdo-j|John McDonald|H|Scotland(UK)|de retour de guerre -\\une empreinte\\dans la neige
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7567&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|deux bottes de blettes\\dans le tchich* ~\\jour pluvieux
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1118&lg=f|mena-pd|Paul David Mena|H|USA|nuit de noces\\les parents de la mariée\\dans des lits séparés
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5697&lg=f|mare-g|Gérard Maréchal|H|France|L'automne est parti\\cette nuit et ce matin\\l'été d'une mangue
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3785&lg=f|mena-pd|Paul David Mena|H|USA|[premier décembre ---\\les bandes délimitantes de la police se cramponnent\\à la grange brûlée]
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=464&lg=f|rais-c|Carol Raisfeld|F|USA|(au point du jour ...\\en buvant à petites gorgées un café amer\\nous refaisons la nuit)
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3178&lg=f|sorl-w|William Sorlien|H|USA|quel jour est-ce ?\\le metronome ramasse la poussière\\dans le coin
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5646&lg=f|quac-j|Jacques Quach|H|France|elle attend en haut\\de l'escalier du métro\\- la lune
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6445&lg=f|rais-c|Carol Raisfeld|F|USA|route côtière...\\les spinnakers gonflés\\de soleil
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6301&lg=f|mena-pd|Paul David Mena|H|USA|veillant sur\\la pelouse de banlieue\\un Bouddha souriant
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5516&lg=f|holl-m|Mark Holloway|H|UK|avec le recul\\un champ\\de chaumes coupés
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6414&lg=f|quin-p|Philippe Quinta|H|France|soir d'été -\\les derniers jours\\du champ de blé
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6803&lg=f|mena-pd|Paul David Mena|H|USA|au coeur de l'automne --\\une rangée\\de maisons de plage vides
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2940&lg=f|py-d|Daniel Py|H|France|Fête des Rois\\les sapins\\à la rue
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6485&lg=f|darn-b|Brian Austin Darnell|H|USA|les ombres du lilas\\escaladent le mur du jardin;\\se glissent dans les bois
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6689&lg=f|cayo-f|France Cayouette|F|Canada|clafoutis aux cerises\\les gestes de ma mère\\sous les miens
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3187&lg=f|supo-l|Lucia Supova|F|Luxembourg|coucher de soleil\\deux peupliers solitaires\\se penchent vers l'est
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2591&lg=f|vanm-r|Robert Van Muylder|H|Belgique|silence glacé\\janvier sur le lac -\\le "O" d'une carpe
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7921&lg=f|hawk-j|John Hawk|H|USA|vieux bac à sable\\les mauvaises herbes\\ont toutes poussé
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5278&lg=f|pelt-m|Marcel Peltier|H|Belgique|Contre-jour -\\au loin un grand chien\\en liberté
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6028&lg=f|mena-pd|Paul David Mena|H|USA|neige sale\\le conducteur parle\\avec les écolières
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4899&lg=f|nick-e|Eléonore Nickolay|F|France|au bout du fil\\de sa pelote grise\\la banlieusarde
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7445&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|jour de rentrée~\\le silence tombe \\sur le mûrier
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2656&lg=f|dute-d|Danièle Duteil|F|France|douceur printanière\\les oies sauvages se regroupent\\sans bruit
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5355&lg=f|cham-d|Dominique Champollion|?|France|cage aux lions\\grande ouverte la bouche\\de l'enfant
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6463&lg=f|dufl-m|Michel Duflo|H|France|plein été –\\la lumière aveuglante\\du bloc opératoire
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6643&lg=f|tome-s|Serge Tomé|H|Belgique|la file au feu rouge:\\un vol de cormorans passe\\-- vers le sud
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6180&lg=f|mena-pd|Paul David Mena|H|USA|nuit sans étoiles --\\mon pub favori perd\\sa patente
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7052&lg=f|gagn-c|Chase Gagnon|H|USA|café de minuit\\une cuiillère de sucre\\mélangée aux ténèbres
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=589&lg=f|chip-d|Dominique Chipot|H|France|Soir de carnaval\\Des confettis\\jusque dans le lit
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1901&lg=f|brei-r|Richard Breitner|H|France|touffeur nocturne -\\la petite chienne se lève\\sous la voie lactée
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6120&lg=f|dufl-m|Michel Duflo|H|France|tout autour\\de la centrale électrique\\les lumières jaunes des champs de colza
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6300&lg=f|mena-pd|Paul David Mena|H|USA|honorer ceux qui ont servi\\en portant une tenue camouflage\\devant la TV
