,url,id_auteur,auteur,sexe,pays,haiku
131,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3617&lg=f,mena-pd,Paul David Mena,H,USA,jours de neige --\\plus de blanc que je ne croyais\\dans ma barbe
132,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4699&lg=f,mena-pd,Paul David Mena,H,USA,une vraie merveille du monde --\\comment elle remplit\\son T-shirt Grand Canyon
133,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6651&lg=f,tome-s,Serge Tomé,H,Belgique,la pelle mécanique\\dans le pré\\efface le ciel
134,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6963&lg=f,dufl-m,Michel Duflo,H,France,thé de l’aube –\\un bruit de moteur croît\\puis décroît
135,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5684&lg=f,hoar-v,Vincent Hoarau,H,France,veille d'élection -\\les chasseurs et leurs chiens\\quelque part dans les bois
136,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7150&lg=f,bikko, Bikko,H,France,thé à la menthe\\sur l’eau la pleine lune\\à peine voilée
137,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7049&lg=f,coud-b,Ben Coudert,H,France,retour en banlieue -\\sous le lit de feue ma mère\\tout un stock de morphine
138,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1139&lg=f,pelt-m,Marcel Peltier,H,Belgique,poussière grise\\sur la cheminée de marbre -\\et ta photo
139,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6743&lg=f,robe-b,Bruno Robert,H,France,escalier A\\quatre à quatre son parfum\\n°5
140,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6913&lg=f,bikko, Bikko,H,France,milieu de nuit\\le biseau de l'aiguille\\trouve la veine
141,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7470&lg=f,mena-pd,Paul David Mena,H,USA,fin d'été --\\j'observe le Dow (Jones)\\tomber
142,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2579&lg=f,hell-e,Eric Hellal,H,France,Gold Beach\\un tag délavé\\sur le blockhaus
143,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1111&lg=f,mena-pd,Paul David Mena,H,USA,(remise de diplôme de ma fille\\je serre le noeud\\de ma cravate)
144,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1781&lg=f,cesa-jc,Jean-Claude César,H,France,Intifada-\\un léger retard\\pour le repas du soir
145,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2148&lg=f,quin-p,Philippe Quinta,H,France,Saké de Kyoto\\dans le verre à téquila\\Fin d'automne
146,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7693&lg=f,niwa-v,Vicky Ni Wayan,F,Belgique,réveillon de l'an neuf-\\en ermite sous un édredon\\d'étoiles
147,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5683&lg=f,hoar-v,Vincent Hoarau,H,France,nuit de brouillard -\\les moutons\\ne s'en soucient guère
148,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6306&lg=f,mcdo-j,John McDonald,H,Scotland(UK),une vieille dame appelée Mary\\son enfant étendu sur ses genoux\\... mémorial de guerre
149,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1463&lg=f,rais-c,Carol Raisfeld,F,USA,tonnerre\\ciel d'ardoise\\crocus naissants
150,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1476&lg=f,ruau-j,Jean Ruaud,H,France,Parc des Buttes Chaumont\\un homme tout seul\\et le crachin
151,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1900&lg=f,burl-j,Jeremiah Burlington,H,France,Seul dans ma nuit\\souvenir des lampions\\de mon enfance
152,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2452&lg=f,gabr-d,Damien Gabriels,H,France,silence de l'aube ~\\un peu de  vapeur s'élève\\de mon bol
153,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6408&lg=f,lour-k,Karyn Louryan ,F,Belgique,bouche gourmande...\\qui se souvient que la cerise\\a été une fleur?
154,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1475&lg=f,rais-c,Carol Raisfeld,F,USA,solstice d'hiver\\la chandelle trop courte\\pour la longue nuit
155,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4450&lg=f,gabr-d,Damien Gabriels,H,France,gîte de vacances -\\le battement des secondes\\au coeur de la nuit
